Sl_no,State_name,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,Andhra pradesh,Kamakshi Tours And Travels,Non A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,INR 600,27 Seats available,"4.2
207",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
1,Andhra pradesh,Sri Sahasra Tours and Travels,A/C Seater / Sleeper (2+1),21:00,05:30,08h 30m,INR 560,27 Seats available,"4.0
72",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
2,Andhra pradesh,Sri Vengamamba Bus Transport (SVBT),A/C Seater / Sleeper (2+1),21:40,06:15,08h 35m,INR 654,19 Seats available,"4.4
291",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
3,Andhra pradesh,V Kaveri Travels,Scania AC Multi Axle Sleeper (2+1),21:30,05:45,08h 15m,INR 1200,21 Seats available,"4.2
256",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
4,Andhra pradesh,Cherry tours&travels,Non A/C Seater / Sleeper (2+1),21:50,06:00,08h 10m,475,25 Seats available,"4.0
15",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
5,Andhra pradesh,V Kaveri Travels,A/C Sleeper (2+1),22:00,06:15,08h 15m,INR 1000,26 Seats available,"4.1
73",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
6,Andhra pradesh,Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),21:30,05:45,08h 15m,INR 1000,26 Seats available,"4.3
146",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
7,Andhra pradesh,LUCKY TRAVELS,A/C Sleeper (2+1),22:45,06:05,07h 20m,INR 1199,27 Seats available,"4.0
18",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
8,Andhra pradesh,Cherry tours&travels,Non A/C Seater / Sleeper (2+1),21:50,06:00,08h 10m,808,28 Seats available,"4.1
93",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
9,Andhra pradesh,Mozo travels,A/C Sleeper (2+1),22:00,04:50,06h 50m,INR 1200,15 Seats available,"4.4
13",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
10,Andhra pradesh,APSRTC - 23531,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:50,15:30,04h 40m,INR 281,34 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
11,Andhra pradesh,APSRTC - 3322,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:10,15:15,04h 05m,INR 281,34 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
12,Andhra pradesh,APSRTC - 4862,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:15,15:00,03h 45m,INR 250,34 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
13,Andhra pradesh,APSRTC - 3338,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:20,14:21,03h 01m,INR 281,36 Seats available,"3.5
21",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
14,Andhra pradesh,APSRTC - 2835,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:00,15:50,03h 50m,INR 281,34 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
15,Andhra pradesh,APSRTC - 4985,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:15,15:45,03h 30m,INR 281,34 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
16,Andhra pradesh,APSRTC - 2539,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:30,16:45,04h 15m,INR 281,34 Seats available,"4.0
6",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
17,Andhra pradesh,APSRTC - 27153,METRO LUXURY A/C,12:45,15:50,03h 05m,INR 383,20 Seats available,"4.6
94",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
18,Andhra pradesh,APSRTC - 2540,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:15,17:45,04h 30m,INR 281,34 Seats available,"3.2
6",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
19,Andhra pradesh,APSRTC - 2817,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:30,16:30,03h 00m,INR 281,34 Seats available,"4.0
33",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
20,Andhra pradesh,APSRTC - 3416,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,18:00,04h 00m,INR 281,34 Seats available,"4.4
5",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
21,Andhra pradesh,APSRTC - 2667,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,17:00,03h 00m,INR 281,23 Seats available,"4.4
29",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
22,Andhra pradesh,APSRTC - 24265,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:10,17:30,03h 20m,INR 281,34 Seats available,"2.6
7",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
23,Andhra pradesh,APSRTC - 23567,INDRA(A.C. Seater),14:20,17:30,03h 10m,INR 340,33 Seats available,"3.6
35",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
24,Andhra pradesh,APSRTC - 2819,INDRA(A.C. Seater),14:30,17:30,03h 00m,INR 340,32 Seats available,"3.0
100",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
25,Andhra pradesh,Gaganasri Travels,Non A/C Seater / Sleeper (2+1),23:50,03:30,03h 40m,INR 5000,1 Seat available,New,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
26,Andhra pradesh,FRESHBUS,Electric A/C Seater (2+2),09:25,13:30,04h 05m,500,19 Seats available,"4.6
433",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
27,Andhra pradesh,NueGo,Electric A/C Seater (2+2),09:25,14:45,05h 20m,361,5 Seats available,"3.9
360",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
28,Andhra pradesh,NueGo,Electric A/C Seater (2+2),11:00,17:25,06h 25m,427,15 Seats available,"3.8
510",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
29,Andhra pradesh,FRESHBUS,Electric A/C Seater (2+2),12:25,18:15,05h 50m,500,29 Seats available,"4.6
393",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
30,Andhra pradesh,NueGo,Electric A/C Seater (2+2),13:00,18:45,05h 45m,361,27 Seats available,"3.9
422",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
31,Andhra pradesh,NueGo,Electric A/C Seater (2+2),14:00,19:45,05h 45m,416,13 Seats available,"3.8
432",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
32,Andhra pradesh,FRESHBUS,Electric A/C Seater (2+2),14:30,20:30,06h 00m,600,33 Seats available,"4.6
461",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
33,Andhra pradesh,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),14:55,20:43,05h 48m,INR 500,30 Seats available,"3.9
328",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
34,Andhra pradesh,Orange Tours and Travels Platinum,Volvo Multi-Axle Sleeper A/C (2+1),15:30,21:00,05h 30m,810,30 Seats available,"3.1
58",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
35,Andhra pradesh,NSK Travels,A/C Sleeper (2+1),20:45,03:00,06h 15m,720,20 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
36,Andhra pradesh,APSRTC - 9267,INDRA(A.C. Seater),10:30,17:00,06h 30m,INR 526,19 Seats available,"3.5
69",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
37,Andhra pradesh,APSRTC - 9255,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:30,18:30,07h 00m,INR 439,29 Seats available,"3.1
49",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
38,Andhra pradesh,APSRTC - 6015,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:30,20:30,07h 00m,INR 439,25 Seats available,"2.9
51",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
39,Andhra pradesh,APSRTC - 50194,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),14:30,21:00,06h 30m,INR 656,37 Seats available,"4.0
108",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
40,Andhra pradesh,APSRTC - 50013,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:30,22:30,07h 00m,INR 439,24 Seats available,"3.6
50",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
41,Andhra pradesh,APSRTC - 6005,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:30,23:30,07h 00m,INR 439,28 Seats available,"3.1
36",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
42,Andhra pradesh,APSRTC - 5779,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:15,23:50,06h 35m,INR 439,22 Seats available,"2.4
22",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
43,Andhra pradesh,APSRTC - 5226,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:45,01:30,07h 45m,INR 439,31 Seats available,3.7,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
44,Andhra pradesh,APSRTC - 5296,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:00,02:00,08h 00m,INR 439,27 Seats available,3.7,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
45,Andhra pradesh,APSRTC - 7745,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:20,02:30,08h 10m,INR 439,29 Seats available,"3.1
6",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
46,Andhra pradesh,APSRTC - 48484,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:20,02:45,07h 25m,INR 439,25 Seats available,3.7,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
47,Andhra pradesh,APSRTC - 50079,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:15,03:15,07h 00m,INR 439,34 Seats available,"2.6
22",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
48,Andhra pradesh,APSRTC - 6558,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:50,03:00,06h 10m,INR 439,31 Seats available,"3.5
4",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
49,Andhra pradesh,APSRTC - 6017,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,04:00,07h 00m,INR 439,27 Seats available,"3.5
56",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
50,Andhra pradesh,APSRTC - 50062,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,04:45,07h 00m,INR 439,25 Seats available,"3.8
78",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
51,Andhra pradesh,BHAIRAVA TOURS AND TRAVELS,Non A/C Seater / Sleeper (2+1),19:15,03:00,07h 45m,INR 599,12 Seats available,"4.0
37",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
52,Andhra pradesh,Giridhar Tours and Travels,A/C Seater/Sleeper (2+1),19:24,03:15,07h 51m,INR 850,21 Seats available,"4.2
4",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
53,Andhra pradesh,S R Travels,Non A/C Seater / Sleeper (2+1),19:30,03:30,08h 00m,INR 750,26 Seats available,"3.9
28",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
54,Andhra pradesh,AdAR & BCVR Travels,Non A/C Seater / Sleeper (2+1),21:30,04:00,06h 30m,INR 700,32 Seats available,"4.6
173",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
55,Andhra pradesh,Royal Voyage Travels (RVT),A/C Seater / Sleeper (2+1),19:30,03:25,07h 55m,INR 858,31 Seats available,"4.2
42",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
56,Andhra pradesh,Sri Vengamamba Bus Transport (SVBT),A/C Seater / Sleeper (2+1),22:30,06:05,07h 35m,INR 642,17 Seats available,"4.4
254",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
57,Andhra pradesh,Cherry tours&travels,A/C Seater / Sleeper (2+1),21:45,05:30,07h 45m,589,28 Seats available,"4.3
38",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
58,Andhra pradesh,V Kaveri Travels,NON A/C Sleeper (2+1),22:45,06:10,07h 25m,INR 900,25 Seats available,"4.2
112",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
59,Andhra pradesh,Jagan Travels,Non A/C Seater / Sleeper (2+1),23:15,06:17,07h 02m,INR 453,22 Seats available,"4.4
36",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
60,Andhra pradesh,V Kaveri Travels,Volvo Multi-Axle A/C Sleeper (2+1),22:00,06:10,08h 10m,INR 1000,16 Seats available,"4.1
148",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
61,Andhra pradesh,V Kaveri Travels,Scania AC Multi Axle Sleeper (2+1),23:20,05:30,06h 10m,INR 1100,18 Seats available,"4.2
187",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
62,Andhra pradesh,Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),23:30,06:00,06h 30m,INR 1000,27 Seats available,"4.1
64",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
63,Andhra pradesh,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),22:30,06:08,07h 38m,540,30 Seats available,"3.8
309",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
64,Andhra pradesh,Chandu Travels,A/C Sleeper (2+1),23:35,06:30,06h 55m,741,22 Seats available,"4.0
122",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
65,Andhra pradesh,Vikram Travels,A/C Seater / Sleeper (2+1),23:15,06:20,07h 05m,INR 1079,18 Seats available,"4.3
64",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
66,Andhra pradesh,APSRTC - 9252,INDRA(A.C. Seater),10:30,17:00,06h 30m,INR 526,29 Seats available,"4.3
82",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
67,Andhra pradesh,APSRTC - 50102,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",11:00,18:00,07h 00m,INR 412,35 Seats available,"3.8
10",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
68,Andhra pradesh,APSRTC - 50804,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:45,18:40,06h 55m,INR 439,34 Seats available,"3.0
9",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
69,Andhra pradesh,APSRTC - 6006,INDRA(A.C. Seater),12:15,18:15,06h 00m,INR 526,38 Seats available,"3.8
51",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
70,Andhra pradesh,APSRTC - 6209,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:00,19:45,06h 45m,INR 439,34 Seats available,"2.7
17",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
71,Andhra pradesh,APSRTC - 50191,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),13:30,19:30,06h 00m,INR 656,42 Seats available,"3.9
84",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
72,Andhra pradesh,APSRTC - 9488,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:30,21:25,06h 55m,INR 439,34 Seats available,"3.8
15",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
73,Andhra pradesh,APSRTC - 9256,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),15:00,21:00,06h 00m,INR 656,39 Seats available,"4.1
68",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
74,Andhra pradesh,APSRTC - 6237,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:30,21:45,06h 15m,INR 439,31 Seats available,"2.1
27",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
75,Andhra pradesh,APSRTC - 50144,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:30,23:00,06h 30m,INR 439,34 Seats available,"2.9
22",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
76,Andhra pradesh,APSRTC - 6018,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:15,00:15,07h 00m,INR 439,45 Seats available,"3.6
5",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
77,Andhra pradesh,APSRTC - 6010,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:00,02:30,06h 30m,INR 439,34 Seats available,"3.2
22",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
78,Andhra pradesh,APSRTC - 6240,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",21:00,04:00,07h 00m,INR 412,37 Seats available,"3.8
29",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
79,Andhra pradesh,APSRTC - 6205,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:30,03:30,06h 00m,INR 439,31 Seats available,"3.3
30",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
80,Andhra pradesh,APSRTC - 5281,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:50,03:00,05h 10m,INR 439,29 Seats available,"3.2
4",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
81,Andhra pradesh,Sri Vinayaka Travels,NON A/C Seater/ Sleeper (2+1),22:30,05:00,06h 30m,INR 399,22 Seats available,"4.0
306",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
82,Andhra pradesh,Sri Vinayaka Travels,NON A/C Sleeper (2+1),22:30,04:45,06h 15m,INR 599,24 Seats available,"4.5
133",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
83,Andhra pradesh,S R Travels,Non A/C Seater / Sleeper (2+1),22:40,05:15,06h 35m,INR 650,25 Seats available,"3.4
35",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
84,Andhra pradesh,Maheswari Travels,Non A/C Seater / Sleeper (2+1),22:40,05:40,07h 00m,INR 399,22 Seats available,"4.2
142",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
85,Andhra pradesh,AR & BCVR Travels,Non A/C Seater / Sleeper (2+1),22:45,06:00,07h 15m,INR 400,33 Seats available,"3.6
29",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore
86,Andhra pradesh,APSRTC - 5671,Express(Non AC Seater),10:30,13:55,03h 25m,INR 186,36 Seats available,"3.9
71",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
87,Andhra pradesh,APSRTC - 9045,Express(Non AC Seater),11:00,14:25,03h 25m,INR 186,44 Seats available,"4.1
66",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
88,Andhra pradesh,APSRTC - 5514,Express(Non AC Seater),11:20,15:45,04h 25m,INR 220,43 Seats available,4.1,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
89,Andhra pradesh,APSRTC - 5647,Express(Non AC Seater),12:00,15:25,03h 25m,INR 186,47 Seats available,"3.8
71",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
90,Andhra pradesh,APSRTC - 9043,Express(Non AC Seater),12:30,15:50,03h 20m,INR 186,45 Seats available,"4.4
55",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
91,Andhra pradesh,APSRTC - 5398,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",12:45,16:45,04h 00m,INR 229,35 Seats available,4.1,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
92,Andhra pradesh,APSRTC - 9019,Express(Non AC Seater),12:45,17:10,04h 25m,INR 186,47 Seats available,"3.6
39",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
93,Andhra pradesh,APSRTC - 5390,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,17:45,03h 45m,INR 256,29 Seats available,"4.4
83",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
94,Andhra pradesh,APSRTC - 47224,Express(Non AC Seater),14:45,18:05,03h 20m,INR 220,45 Seats available,"4.5
45",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
95,Andhra pradesh,APSRTC - 9047,Express(Non AC Seater),15:30,18:55,03h 25m,INR 186,45 Seats available,"3.8
41",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
96,Andhra pradesh,APSRTC - 9007,Express(Non AC Seater),15:45,19:45,04h 00m,INR 186,45 Seats available,"4.2
62",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
97,Andhra pradesh,APSRTC - 47236,Express(Non AC Seater),16:15,20:20,04h 05m,INR 186,45 Seats available,"4.4
33",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
98,Andhra pradesh,APSRTC - 9011,Express(Non AC Seater),16:30,20:15,03h 45m,INR 186,42 Seats available,"4.1
45",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
99,Andhra pradesh,APSRTC - 9049,Express(Non AC Seater),17:15,20:40,03h 25m,INR 186,43 Seats available,"4.0
72",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
100,Andhra pradesh,APSRTC - 9888,Express(Non AC Seater),18:45,22:50,04h 05m,INR 186,47 Seats available,"3.5
26",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
101,Andhra pradesh,NueGo,Electric A/C Seater (2+2),10:30,15:10,04h 40m,332,16 Seats available,"3.8
76",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
102,Andhra pradesh,Venson Transports,Non AC Seater (2+3),11:10,16:00,04h 50m,INR 275,58 Seats available,"3.7
19",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
103,Andhra pradesh,NueGo,Electric A/C Seater (2+2),12:30,17:10,04h 40m,332,26 Seats available,"3.5
66",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
104,Andhra pradesh,NueGo,Electric A/C Seater (2+2),19:30,00:10,04h 40m,332,36 Seats available,"3.8
32",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
105,Andhra pradesh,NueGo,Electric A/C Seater (2+2),21:00,01:40,04h 40m,332,43 Seats available,"4.6
24",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
106,Andhra pradesh,APSRTC - 2890,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:30,14:10,03h 40m,INR 281,28 Seats available,"3.6
15",https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
107,Andhra pradesh,APSRTC - 23576,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:45,15:15,04h 30m,INR 250,34 Seats available,3.7,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
108,Andhra pradesh,APSRTC - 27128,METRO LUXURY A/C,10:50,14:30,03h 40m,INR 341,26 Seats available,"3.3
24",https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
109,Andhra pradesh,APSRTC - 3188,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",11:00,15:55,04h 55m,INR 239,30 Seats available,3.7,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
110,Andhra pradesh,APSRTC - 3103,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:15,16:45,05h 30m,INR 281,31 Seats available,3.7,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
111,Andhra pradesh,APSRTC - 2658,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:15,14:55,03h 40m,INR 281,34 Seats available,"3.2
4",https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
112,Andhra pradesh,APSRTC - 2206,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:30,16:05,04h 35m,INR 250,34 Seats available,"3.7
8",https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
113,Andhra pradesh,APSRTC - 2406,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:00,16:15,04h 15m,INR 281,31 Seats available,3.7,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada
